Subject_ID,Group,Stroop_Test,Score,Time
01,Run,1,36.8,Pre
01,Run,1,29.2,Post
01,Run,2,60.22,Pre
01,Run,2,70.5,Post
02,Run,1,25.57,Pre
02,Run,1,27.2,Post
02,Run,2,63.02,Pre
02,Run,2,58.25,Post
03,Run,1,32.8,Pre
03,Run,1,27.68,Post
03,Run,2,50.39,Pre
03,Run,2,51.45,Post
04,Run,1,28.4,Pre
04,Run,1,29.08,Post
04,Run,2,64.02,Pre
04,Run,2,49.52,Post
05,Run,1,29.07,Pre
05,Run,1,26.23,Post
05,Run,2,52.69,Pre
05,Run,2,49.23,Post
06,Run,1,21.47,Pre
06,Run,1,17.92,Post
06,Run,2,39.23,Pre
06,Run,2,37.43,Post
07,Run,1,35.44,Pre
07,Run,1,30.33,Post
07,Run,2,60.09,Pre
07,Run,2,50.65,Post
08,Run,1,29.63,Pre
08,Run,1,37.51,Post
08,Run,2,94.87,Pre
08,Run,2,72.75,Post
09,Run,1,30.65,Pre
09,Run,1,27.32,Post
09,Run,2,60.25,Pre
09,Run,2,69.5,Post
10,Run,1,24.43,Pre
10,Run,1,20.58,Post
10,Run,2,61,Pre
10,Run,2,64.74,Post
11,Run,1,26.26,Pre
11,Run,1,25.31,Post
11,Run,2,60.44,Pre
11,Run,2,49.3,Post
12,Run,1,26.46,Pre
12,Run,1,24.86,Post
12,Run,2,70.00,Pre
12,Run,2,60.82,Post
13,Run,1,30.55,Pre
13,Run,1,25.0,Post
13,Run,2,64.61,Pre
13,Run,2,68.73,Post
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
15,Run,1,31.72,Pre
15,Run,1,30.53,Post
15,Run,2,58.47,Pre
15,Run,2,55.72,Post
16,Run,1,28.65,Pre
16,Run,1,34.02,Post
16,Run,2,84.0,Pre
16,Run,2,59.01,Post
17,Run,1,30.36,Pre
17,Run,1,27.91,Post
17,Run,2,54.57,Pre
17,Run,2,44.97,Post
18,Control,1,27.36,Pre
18,Control,1,29.21,Post
18,Control,2,74.55,Pre
18,Control,2,67.33,Post
19,Run,1,27.34,Pre
19,Run,1,34.35,Post
19,Run,2,57.57,Pre
19,Run,2,41.75,Post
20,Control,1,44.72,Pre
20,Control,1,45.53,Post
20,Control,2,71.37,Pre
20,Control,2,66.72,Post
21,Run,1,45.08,Pre
21,Run,1,46.39,Post
21,Run,2,69.11,Pre
21,Run,2,57.07,Post
22,Run,1,26.44,Pre
22,Run,1,25.80,Post
22,Run,2,53.76,Pre
22,Run,2,50.37,Post
23,Control,1,26.3,Pre
23,Control,1,23.14,Post
23,Control,2,74.22,Pre
23,Control,2,69.63,Post
24,Run,1,31.73,Pre
24,Run,1,38.43,Post
24,Run,2,83.04,Pre
24,Run,2,67.2,Post
25,Run,1,31.29,Pre
25,Run,1,28.27,Post
25,Run,2,68,Pre
25,Run,2,50.50,Post
26,Control,1,28.8,Pre
26,Control,1,44.17,Post
26,Control,2,59.19,Pre
26,Control,2,56.35,Post
27,Control,1,24.5,Pre
27,Control,1,25.42,Post
27,Control,2,60,Pre
27,Control,2,55.96,Post
28,Control,1,24,Pre
28,Control,1,26.33,Post
28,Control,2,47.8,Pre
28,Control,2,43.5,Post
29,Control,1,34.99,Pre
29,Control,1,33.81,Post
29,Control,2,73.71,Pre
29,Control,2,75.14,Post
30,Control,1,28.56,Pre
30,Control,1,28.89,Post
30,Control,2,49.31,Pre
30,Control,2,60.33,Post
31,Control,1,28.0,Pre
31,Control,1,25.0,Post
31,Control,2,68.0,Pre
31,Control,2,48.9,Post
32,Control,1,36.19,Pre
32,Control,1,35.45,Post
32,Control,2,62.57,Pre
32,Control,2,56.2,Post
33,Control,1,38.53,Pre
33,Control,1,40.9,Post
33,Control,2,66.4,Pre
33,Control,2,53.35,Post
34,Control,1,26.95,Pre
34,Control,1,25.08,Post
34,Control,2,55.9,Pre
34,Control,2,47.38,Post
35,Control,1,53.0,Pre
35,Control,1,39.9,Post
35,Control,2,70.0,Pre
35,Control,2,67.50,Post
36,Control,1,46.2,Pre
36,Control,1,41.2,Post
36,Control,2,74.3,Pre
36,Control,2,66,Post
37,Control,1,26.39,Pre
37,Control,1,26.04,Post
37,Control,2,53.77,Pre
37,Control,2,37.45,Post
38,Control,1,32.92,Pre
38,Control,1,27.3,Post
38,Control,2,53.17,Pre
38,Control,2,47.65,Post
39,Control,1,29.91,Pre
39,Control,1,33.45,Post
39,Control,2,54.7,Pre
39,Control,2,49.26,Post
40,Control,1,34.13,Pre
40,Control,1,31.38,Post
40,Control,2,62.67,Pre
40,Control,2,56.93,Post
41,Control,1,NA,Pre
41,Control,1,NA,Post
41,Control,2,NA,Pre
41,Control,2,NA,Post